asset_id,hostname,classe,tipo_ativo,so_produto,criticidade,ambiente,status,app_produto,classe_encoded,criticidade_encoded,ambiente_encoded,qtd_cves_total,qtd_cves_aplicaveis,cvss_score_medio,cvss_score_max,cvss_score_std,qtd_critical,qtd_high,qtd_medium,qtd_low,pct_critical_high,qtd_cwes_distintos,pct_aplicaveis,PC1,PC2,PC3
ASSET-0014,SRVAPP-WIN-014,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,SAP NetWeaver Application Server ABAP,1,3,3,184.0,4.0,6.25,8.5,1.72,0.0,1.0,3.0,0.0,25.0,3.0,2.2,-1.5950650262591937,2.4030359044431564,0.6766672111451797
ASSET-0015,SRVAPP-WIN-015,Servidor,Servidor de Aplicação,Linux,ALTA,Produção,Ativo,FortiOS,1,3,3,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0016,SRVAPP-WIN-016,Servidor,Servidor de Aplicação,Windows Server 2025,BAIXA,Desenvolvimento,Ativo,MySQL Server,1,1,1,871.0,585.0,6.86,9.9,1.33,7.0,340.0,227.0,11.0,59.3,55.0,67.2,1.7654642666141798,0.4404998270683725,-0.950549493646966
ASSET-0017,SRVAPP-WIN-017,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Desenvolvimento,Ativo,Oracle Java SE,1,2,1,193.0,11.0,6.73,8.6,1.37,0.0,6.0,5.0,0.0,54.5,0.0,5.7,-1.4082820290328102,2.3927309301508712,-1.2775159275772139
ASSET-0018,SRVAPP-WIN-018,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,MÉDIA,Homologação,Ativo,FortiOS,1,2,2,213.0,2.0,4.6,4.8,0.28,0.0,0.0,2.0,0.0,0.0,2.0,0.9,-3.238307873726196,0.350732453772557,-0.06520083697075887
ASSET-0019,SRVAPP-WIN-019,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Desenvolvimento,Ativo,Oracle Java SE,1,2,1,790.0,509.0,7.17,9.9,1.1,7.0,345.0,153.0,4.0,69.2,55.0,64.4,1.6536944140245886,0.45846470260080585,-0.44910037722460966
ASSET-0020,SRVAPP-WIN-020,Servidor,Servidor de Aplicação,Windows Server 2022,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,761.0,727.0,7.25,9.9,1.17,12.0,480.0,230.0,5.0,67.7,68.0,95.5,3.0471353804304755,-0.41823010644158565,1.3992471568165472
ASSET-0021,SRVAPP-WIN-021,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Desenvolvimento,Ativo,MySQL Server,1,1,1,272.0,88.0,5.03,7.5,1.0,0.0,1.0,80.0,7.0,1.1,1.0,32.4,-2.169586270441615,0.9596517665557235,-1.543915691589044
ASSET-0022,SRVAPP-WIN-022,Servidor,Servidor de Aplicação,Windows Server 2025,ALTA,Produção,Ativo,FortiOS,1,3,3,812.0,780.0,7.21,9.9,1.16,10.0,522.0,242.0,6.0,68.2,73.0,96.1,3.0221781710915794,-0.48466454334349734,1.820234573070163
ASSET-0023,SRVAPP-WIN-023,Servidor,Servidor de Aplicação,Windows Server 2022,BAIXA,Produção,Descomissionado,SAP NetWeaver Application Server for ABAP,1,1,3,719.0,719.0,7.23,9.9,1.18,9.0,474.0,231.0,5.0,67.2,67.0,100.0,2.8090507791286408,-0.272062127077939,0.7440691249842131
ASSET-0024,SRVAPP-WIN-024,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,Db2,1,3,2,726.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,98.1,2.5873925686168144,-0.24417971382733825,0.8930531798534386
ASSET-0025,SRVAPP-WIN-025,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Homologação,Ativo,ColdFusion,1,2,2,733.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,93.3,2.397369656533786,-0.06103721665162374,0.3431322382354748
ASSET-0026,SRVAPP-WIN-026,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,ALTA,Desenvolvimento,Ativo,Oracle Java SE,1,3,1,133.0,9.0,6.73,8.6,1.48,0.0,5.0,4.0,0.0,55.6,0.0,6.8,-1.3611491334748809,2.4693233348163006,-0.8325048541186435
ASSET-0027,SRVAPP-WIN-027,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,CRÍTICA,Produção,Ativo,MySQL Server,1,4,3,214.0,87.0,5.04,7.5,1.01,0.0,1.0,79.0,7.0,1.1,0.0,40.7,-2.1664477576085854,0.8609179850651616,1.3075233023393809
ASSET-0028,SRVAPP-WIN-028,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Desenvolvimento,Em manutenção,curl,1,2,1,792.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,98.0,3.0022329434576864,-0.4908514392129786,-0.12263090153342147
ASSET-0029,SRVAPP-WIN-029,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Produção,Ativo,Junos OS,1,1,3,241.0,9.0,5.91,7.5,0.89,0.0,1.0,8.0,0.0,11.1,9.0,3.7,-2.1930393908389156,1.4123272120559227,-0.0183171254606952
ASSET-0030,SRVAPP-WIN-030,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,Oracle Java SE,1,3,2,726.0,723.0,7.23,9.9,1.17,8.0,479.0,231.0,5.0,67.4,65.0,99.6,2.6178729418975415,-0.2790722890776579,0.8960273321002368
ASSET-0031,SRVAPP-WIN-031,Servidor,Servidor de Aplicação,Linux,CRÍTICA,Homologação,Em manutenção,,1,4,2,2657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.515435616630878,-1.131638605083822,1.1913695127483526
ASSET-0032,SRVAPP-WIN-032,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Descomissionado,,1,2,3,684.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,100.0,2.469788395329755,-0.10993576116778095,1.0623819652032025
ASSET-0033,SRVAPP-WIN-033,Servidor,Servidor de Aplicação,Windows Server 2019,BAIXA,Produção,Ativo,Cisco IOS XE Software,1,1,3,728.0,394.0,7.23,10.0,1.12,7.0,268.0,116.0,3.0,69.8,50.0,54.1,1.3612558267754773,0.8631951660515077,0.46015277190566384
ASSET-0034,SRVAPP-WIN-034,Servidor,Servidor de Aplicação,Windows Server 2022,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,761.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,93.6,2.601894916300311,-0.17322389172578553,1.159801521371926
ASSET-0035,SRVAPP-WIN-035,Servidor,Servidor de Aplicação,Windows Server 2022,MÉDIA,Produção,Ativo,Oracle Java SE,1,2,3,726.0,723.0,7.23,9.9,1.17,8.0,479.0,231.0,5.0,67.4,65.0,99.6,2.6683114772644085,-0.24792401014124807,1.1554875150889292
ASSET-0036,SRVAPP-WIN-036,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,MÉDIA,Desenvolvimento,Ativo,Oracle Java SE,1,2,1,133.0,11.0,6.73,8.6,1.37,0.0,6.0,5.0,0.0,54.5,0.0,8.3,-1.387518898371307,2.369731016322122,-1.281726863616651
ASSET-0037,SRVAPP-WIN-037,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,ALTA,Produção,Ativo,MySQL Server,1,3,3,272.0,10.0,4.9,6.5,0.62,0.0,0.0,10.0,0.0,0.0,1.0,3.7,-2.8442023099240754,0.8256365209297173,1.0116783530479634
ASSET-0038,SRVAPP-WIN-038,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Em manutenção,Oracle Java SE,1,2,3,698.0,695.0,7.23,9.9,1.18,7.0,461.0,222.0,5.0,67.3,62.0,99.6,2.4850957115886136,-0.12802070708170674,1.0684333399403585
ASSET-0039,SRVAPP-WIN-039,Servidor,Servidor de Aplicação,Windows Server 2025,ALTA,Produção,Em manutenção,FortiWeb,1,3,3,792.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,98.0,3.008535652826336,-0.49088832556022144,1.8082118711474866
ASSET-0040,SRVAPP-WIN-040,Servidor,Servidor de Aplicação,Windows Server 2022,BAIXA,Produção,Ativo,FortiOS,1,1,3,748.0,63.0,7.25,9.8,1.09,1.0,47.0,14.0,1.0,76.2,24.0,8.4,-0.5582568562875303,2.2821174607803307,-0.11264622453927309
ASSET-0041,SRVAPP-WIN-041,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Produção,Ativo,FortiWeb,1,3,3,728.0,59.0,7.42,9.8,0.86,1.0,47.0,11.0,0.0,81.4,21.0,8.1,-0.7176952688940593,2.132156312991216,0.8427094806667911
ASSET-0042,SRVAPP-WIN-042,Servidor,Servidor de Aplicação,Windows Server 2025,BAIXA,Produção,Em manutenção,Oracle Java SE,1,1,3,790.0,509.0,7.17,9.9,1.1,7.0,345.0,153.0,4.0,69.2,55.0,64.4,1.7230466976366283,0.4999834457336046,0.5404607909872831
ASSET-0043,SRVAPP-WIN-043,Servidor,Servidor de Aplicação,Linux,BAIXA,Produção,Ativo,Cisco IOS XE Software,1,1,3,2701.0,44.0,6.96,10.0,1.36,2.0,21.0,21.0,0.0,52.3,0.0,1.6,-0.9988743607728039,2.474925944927638,-0.19214148961481076
ASSET-0044,SRVAPP-WIN-044,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,ColdFusion,1,3,3,228.0,15.0,8.01,9.1,1.15,4.0,7.0,4.0,0.0,73.3,8.0,6.6,-0.6454189261959268,2.3618586473002923,0.8664759080525957
ASSET-0045,SRVAPP-WIN-045,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Produção,Ativo,FortiOS,1,2,3,812.0,498.0,7.18,9.9,1.1,7.0,339.0,148.0,4.0,69.5,55.0,61.3,1.6493283319187892,0.5290484386275968,1.0105347042451325
ASSET-0046,SRVAPP-WIN-046,Servidor,Servidor de Aplicação,Windows Server 2022,MÉDIA,Desenvolvimento,Descomissionado,Junos OS,1,2,1,776.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,91.8,2.549692944736618,-0.17804180285250634,-0.29748518566255644
ASSET-0047,SRVAPP-WIN-047,Servidor,Servidor de Aplicação,Windows Server 2025,ALTA,Homologação,Ativo,SAP NetWeaver Application Server for ABAP,1,3,2,783.0,505.0,7.17,9.9,1.11,8.0,340.0,153.0,4.0,68.9,58.0,64.5,1.7590546041436121,0.4001221617789207,0.816595920797455
ASSET-0048,SRVAPP-WIN-048,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Ativo,Db2,1,2,3,698.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,98.0,2.453816756359368,-0.09224351976105069,1.0656211467720003
ASSET-0049,SRVAPP-WIN-049,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,MÉDIA,Desenvolvimento,Ativo,FortiOS,1,2,1,213.0,3.0,5.33,6.3,0.95,0.0,0.0,3.0,0.0,0.0,3.0,1.4,-2.6310157836239254,1.1775738634272312,-0.978695338384475
ASSET-0050,SRVAPP-WIN-050,Servidor,Servidor de Aplicação,Windows Server 2022,BAIXA,Produção,Ativo,curl,1,1,3,728.0,715.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,98.2,2.673341844121704,-0.19666364730258498,0.6814435786860403
ASSET-0051,SRVDB-WIN-001,Servidor,Servidor de Banco de Dados,Windows Server 2022,BAIXA,Produção,Ativo,Db2,1,1,3,726.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,98.1,2.669355891105377,-0.19225362015090772,0.6818725606076232
ASSET-0052,SRVDB-WIN-002,Servidor,Servidor de Banco de Dados,Windows Server 2019,ALTA,Homologação,Descomissionado,Cisco IOS XE Software,1,3,2,728.0,728.0,7.22,10.0,1.19,9.0,476.0,238.0,5.0,66.6,62.0,100.0,2.686324536110856,-0.29955824636432,0.9283458509208377
ASSET-0053,SRVDB-WIN-003,Servidor,Servidor de Banco de Dados,Windows Server 2022,BAIXA,Homologação,Ativo,Db2,1,1,2,726.0,64.0,7.32,9.8,0.92,1.0,48.0,15.0,0.0,76.6,24.0,8.8,-0.6540381293011709,2.133481660473556,-0.813219786267849
ASSET-0054,SRVDB-WIN-004,Servidor,Servidor de Banco de Dados,Linux,ALTA,Produção,Em manutenção,MySQL Server,1,3,3,2752.0,9.0,4.96,6.5,0.63,0.0,0.0,9.0,0.0,0.0,0.0,0.3,-2.871518369589633,0.8799297869861235,1.0081658029224867
ASSET-0055,SRVDB-WIN-005,Servidor,Servidor de Banco de Dados,Windows Server 2019,MÉDIA,Produção,Em manutenção,FortiWeb,1,2,3,700.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,97.7,2.45142101051381,-0.08958968355004118,1.0661070240073198
ASSET-0056,SRVDB-WIN-006,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,Oracle Java SE,1,3,3,193.0,1.0,4.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,-3.412474154501659,0.14453444480721858,1.1726504239131437
ASSET-0057,SRVDB-WIN-007,Servidor,Servidor de Banco de Dados,Linux,ALTA,Produção,Ativo,,1,3,3,2657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0058,SRVDB-WIN-008,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,ColdFusion,1,3,3,228.0,15.0,8.01,9.1,1.15,4.0,7.0,4.0,0.0,73.3,8.0,6.6,-0.6454189261959268,2.3618586473002923,0.8664759080525957
ASSET-0059,SRVDB-WIN-009,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 7,ALTA,Produção,Ativo,FortiOS,1,3,3,155.0,1.0,4.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6,-3.3994590065936796,0.13877317718263962,1.1775506040490509
ASSET-0060,SRVDB-WIN-010,Servidor,Servidor de Banco de Dados,Windows Server 2019,CRÍTICA,Produção,Ativo,Oracle Java SE,1,4,3,698.0,361.0,7.25,9.9,1.09,5.0,253.0,100.0,3.0,71.5,50.0,51.7,0.9996589175964311,0.9512090833417289,1.757574315133009
ASSET-0061,SRVDB-WIN-011,Servidor,Servidor de Banco de Dados,Windows Server 2022,ALTA,Desenvolvimento,Ativo,curl,1,3,1,728.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,97.8,2.5660830745260848,-0.2518963418127177,0.163438071865558
ASSET-0062,SRVDB-WIN-012,Servidor,Servidor de Banco de Dados,Windows Server 2022,BAIXA,Produção,Em manutenção,Db2,1,1,3,726.0,717.0,7.23,9.9,1.17,8.0,474.0,230.0,5.0,67.2,66.0,98.8,2.6886700886943578,-0.21489049456698453,0.6873907490227846
ASSET-0063,SRVDB-WIN-013,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 9,MÉDIA,Produção,Descomissionado,SAP NetWeaver Application Server for ABAP,1,2,3,184.0,8.0,6.02,9.6,1.88,1.0,1.0,6.0,0.0,25.0,5.0,4.3,-1.2628411554167063,2.556627259965574,0.2211239355265251
ASSET-0064,SRVDB-WIN-014,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 9,BAIXA,Desenvolvimento,Ativo,Db2,1,1,1,191.0,1.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.4623244741222496,0.05625390953467648,-1.2006643060531486
ASSET-0065,SRVDB-WIN-015,Servidor,Servidor de Banco de Dados,Windows Server 2019,ALTA,Homologação,Ativo,Cisco IOS XE Software,1,3,2,728.0,728.0,7.22,10.0,1.19,9.0,476.0,238.0,5.0,66.6,62.0,100.0,2.686324536110856,-0.29955824636432,0.9283458509208377
ASSET-0066,SRVDB-WIN-016,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,BAIXA,Produção,Ativo,FortiOS,1,1,3,215.0,4.0,4.8,6.3,1.27,0.0,0.0,3.0,1.0,0.0,4.0,1.9,-2.430119460738416,1.4010758732771875,-0.027401129132960896
ASSET-0067,SRVDB-WIN-017,Servidor,Servidor de Banco de Dados,Windows Server 2025,ALTA,Produção,Ativo,FortiWeb,1,3,3,792.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,98.0,3.008535652826336,-0.49088832556022144,1.8082118711474866
ASSET-0068,SRVDB-WIN-018,Servidor,Servidor de Banco de Dados,Linux,ALTA,Produção,Ativo,FortiWeb,1,3,3,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0069,SRVDB-WIN-019,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 9,MÉDIA,Desenvolvimento,Ativo,curl,1,2,1,193.0,4.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.1,-3.477884578999827,0.01779688658793096,-0.732881871916822
ASSET-0070,SRVDB-WIN-020,Servidor,Servidor de Banco de Dados,Linux,ALTA,Desenvolvimento,Ativo,Db2,1,3,1,2671.0,5.0,6.24,7.8,1.09,0.0,1.0,4.0,0.0,20.0,3.0,0.2,-2.1227929422958907,1.7416157119380082,-0.634652327821789
ASSET-0071,SRVDB-WIN-021,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,FortiOS,1,3,3,215.0,1.0,4.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.4002575885421993,0.13965778925297614,1.1777125631274907
ASSET-0072,SRVDB-WIN-022,Servidor,Servidor de Banco de Dados,Windows Server 2022,MÉDIA,Desenvolvimento,Em manutenção,FortiWeb,1,2,1,728.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,97.8,2.59760786164778,-0.23111852707269684,-0.30720273036894974
ASSET-0073,SRVDB-WIN-023,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,FortiWeb,1,3,3,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0074,SRVDB-WIN-024,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,ALTA,Homologação,Ativo,,1,3,2,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.483910829509183,-1.1108607903438013,0.7207287105138449
ASSET-0075,SRVDB-WIN-025,Servidor,Servidor de Banco de Dados,Windows Server 2019,MÉDIA,Produção,Ativo,FortiWeb,1,2,3,700.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,97.7,2.45142101051381,-0.08958968355004118,1.0661070240073198
ASSET-0076,SRVDB-WIN-026,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 8,CRÍTICA,Homologação,Em manutenção,SAP NetWeaver Application Server ABAP,1,4,2,184.0,4.0,6.25,8.5,1.72,0.0,1.0,3.0,0.0,25.0,3.0,2.2,-1.645503561626061,2.371887625506747,0.4172070281564872
ASSET-0077,SRVDB-WIN-027,Servidor,Servidor de Banco de Dados,Linux,CRÍTICA,Produção,Ativo,Junos OS,1,4,3,2721.0,8.0,6.1,7.5,0.74,0.0,1.0,7.0,0.0,12.5,8.0,0.3,-2.3739965397207463,1.2977838403929856,1.4135269544327507
ASSET-0078,SRVDB-WIN-028,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 9,BAIXA,Produção,Ativo,FortiWeb,1,1,3,193.0,1.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.4244969776319047,0.07699483792745446,0.2595376643932521
ASSET-0079,SRVDB-WIN-029,Servidor,Servidor de Banco de Dados,Red Hat Enterprise Linux 9,CRÍTICA,Desenvolvimento,Ativo,FortiOS,1,4,1,213.0,1.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.5568988354873343,-0.0060795346853857795,0.21125810065037476
ASSET-0080,SRVDB-WIN-030,Servidor,Servidor de Banco de Dados,Windows Server 2019,MÉDIA,Homologação,Em manutenção,FortiWeb,1,2,2,700.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,97.7,2.4325072622686377,-0.09996014774643017,0.33600603878411966
ASSET-0081,SRVDB-WIN-031,Servidor,Servidor de Banco de Dados,Linux,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,2706.0,15.0,8.01,9.1,1.15,4.0,7.0,4.0,0.0,73.3,8.0,0.6,-0.6618090559853931,2.4357131862605037,0.40555265052448125
ASSET-0082,SRVDB-WIN-032,Servidor,Servidor de Banco de Dados,Windows Server 2019,ALTA,Produção,Ativo,curl,1,3,3,700.0,350.0,7.27,9.9,1.08,5.0,247.0,95.0,3.0,72.0,50.0,50.0,0.9979094464016872,1.0039822407838304,1.2852901293323327
ASSET-0083,SRVDB-WIN-033,Servidor,Servidor de Banco de Dados,Windows Server 2019,BAIXA,Produção,Ativo,Oracle Java SE,1,1,3,698.0,361.0,7.25,9.9,1.09,5.0,253.0,100.0,3.0,71.5,50.0,51.7,1.0942332789615166,1.013542527561791,0.3456519084294859
ASSET-0084,SRVDB-WIN-034,Servidor,Servidor de Banco de Dados,Linux,ALTA,Produção,Ativo,ColdFusion,1,3,3,2706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0085,SRVDB-WIN-035,Servidor,Servidor de Banco de Dados,Linux,ALTA,Produção,Ativo,FortiWeb,1,3,3,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0086,SRVWEB-WIN-001,Servidor,Servidor Web,Red Hat Enterprise Linux 9,BAIXA,Produção,Ativo,Oracle Java SE,1,1,3,191.0,10.0,6.5,8.6,1.58,0.0,5.0,5.0,0.0,50.0,1.0,5.2,-1.2916747835008033,2.5450482473980864,-0.30668379930464373
ASSET-0087,SRVWEB-WIN-002,Servidor,Servidor Web,Windows Server 2025,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,825.0,513.0,7.21,9.9,1.11,11.0,346.0,152.0,4.0,69.6,58.0,62.2,2.0947116056471735,0.3047050707731876,1.248975006546842
ASSET-0088,SRVWEB-WIN-003,Servidor,Servidor Web,Linux,ALTA,Homologação,Em manutenção,curl,1,3,2,2673.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-4.479924876492856,-1.1152708174954782,0.720299728592262
